latitude,longitude,presence,bio1,bio2,bio3,bio4,bio12
59.820693845200005,6.937360363399999,true,-6,58,240,6381,1771
59.0706938482,6.9456936966999985,true,29,58,244,6223,1582
59.462360513300005,6.9456936966999985,true,2,59,243,6341,1946
59.8123605119,6.9456936966999985,true,-15,58,241,6356,1970
59.820693845200005,6.9456936966999985,true,-8,58,240,6379,1821
59.02069384840001,6.954027029999999,true,31,58,244,6196,1637
59.620693846,6.954027029999999,true,16,58,240,6432,1313
59.66236051250001,6.954027029999999,true,36,58,238,6508,1444
59.6290271793,6.962360363299998,true,26,58,239,6476,1205
59.78736051200001,6.962360363299998,true,-7,58,241,6388,1696
59.3123605139,6.970693696599999,true,5,59,245,6311,1827
59.61236051270001,6.970693696599999,true,13,59,241,6429,1366
59.8123605119,6.970693696599999,true,-5,58,240,6405,1557
59.83736051180001,6.970693696599999,true,9,58,239,6456,1303
59.954027178000004,6.970693696599999,true,21,58,236,6512,1198
58.920693848800006,6.979027029899998,true,18,57,244,6085,2137
59.6290271793,6.979027029899998,true,27,59,239,6491,1223
59.8040271786,6.979027029899998,true,-7,58,241,6401,1620
59.0290271817,6.987360363199999,true,20,58,245,6188,1921
59.554027179600006,6.987360363199999,true,2,59,243,6394,1453
59.6290271793,6.987360363199999,true,27,59,239,6497,1234
59.770693845400004,6.987360363199999,true,-11,58,241,6393,1757
58.904027182200004,6.995693696499998,true,23,57,244,6099,1926
59.02069384840001,6.995693696499998,true,17,58,245,6178,1929
59.1290271813,6.995693696499998,true,21,59,245,6272,1676
58.870693849000006,7.004027029799999,true,25,57,244,6076,1823
59.004027181800005,7.004027029799999,true,11,58,246,6154,1954
59.037360515,7.004027029799999,true,19,58,245,6207,1906
58.870693849000006,7.012360363099998,true,24,57,244,6080,1792
59.1290271813,7.012360363099998,true,14,59,245,6264,1859
59.15402718120001,7.012360363099998,true,14,59,245,6277,1846
59.57069384620001,7.012360363099998,true,2,59,242,6415,1429
59.0290271817,7.020693696399999,true,20,58,245,6211,1787
59.65402717920001,7.029027029699998,true,7,59,241,6461,1692
59.78736051200001,7.029027029699998,true,-5,58,240,6443,1554
59.8040271786,7.029027029699998,true,-8,58,241,6429,1695
59.004027181800005,7.037360362999999,true,15,58,245,6190,1649
59.0290271817,7.037360362999999,true,19,58,245,6221,1783
58.69569384970001,7.045693696299999,true,27,54,240,5929,2188
58.97069384860001,7.045693696299999,true,20,58,245,6176,1623
59.02069384840001,7.045693696299999,true,19,58,245,6219,1542
59.1623605145,7.045693696299999,true,6,59,246,6283,1867
59.2206938476,7.045693696299999,true,16,59,245,6353,1599
59.454027180000004,7.045693696299999,true,-1,59,244,6397,1628
59.770693845400004,7.0540270295999985,true,-4,59,241,6458,1422
59.4040271802,7.062360362899999,true,-2,60,245,6383,1689
59.504027179800005,7.062360362899999,true,-1,59,244,6422,1438
59.02069384840001,7.070693696199998,true,22,59,245,6245,1411
59.52069384640001,7.070693696199998,true,7,59,243,6463,1218
60.02902717770001,7.070693696199998,true,-8,58,238,6485,1172
58.6706938498,7.079027029499999,true,32,54,239,5935,2085
59.79569384530001,7.079027029499999,true,-4,59,240,6476,1427
58.7206938496,7.087360362799998,true,30,55,241,5992,1788
59.004027181800005,7.087360362799998,true,24,59,245,6246,1331
59.2623605141,7.087360362799998,true,-2,60,246,6344,1873
59.83736051180001,7.087360362799998,true,-15,59,241,6451,1488
