latitude,longitude,presence,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
42.31236058190001,8.837360355800003,true,97.0,38.0,209.0,5079.0,198.0,14.0,184.0,86.0,163.0,173.0,33.0,1058.0,151.0,18.0,44.0,417.0,79.0,90.0,332.0
42.39569391490001,8.837360355800003,true,127.0,36.0,199.0,5115.0,228.0,45.0,183.0,115.0,193.0,204.0,63.0,827.0,118.0,14.0,43.0,337.0,66.0,68.0,230.0
42.40402724820001,8.837360355800003,true,105.0,36.0,199.0,5082.0,205.0,24.0,182.0,94.0,171.0,182.0,41.0,951.0,134.0,16.0,43.0,383.0,74.0,80.0,273.0
42.43736058140001,8.837360355800003,true,120.0,35.0,195.0,5097.0,220.0,39.0,181.0,109.0,186.0,197.0,56.0,882.0,130.0,13.0,46.0,353.0,60.0,73.0,288.0
42.04569391630001,8.845693689100003,true,127.0,43.0,224.0,5149.0,233.0,43.0,190.0,116.0,195.0,205.0,63.0,1081.0,158.0,18.0,47.0,444.0,74.0,84.0,339.0
42.16236058250001,8.845693689100003,true,120.0,41.0,219.0,5134.0,225.0,36.0,189.0,109.0,187.0,198.0,56.0,1079.0,157.0,19.0,45.0,438.0,78.0,87.0,327.0
42.25402724880001,8.845693689100003,true,84.0,40.0,215.0,5072.0,187.0,2.0,185.0,73.0,150.0,161.0,21.0,1109.0,158.0,20.0,44.0,450.0,83.0,94.0,325.0
42.26236058210001,8.845693689100003,true,93.0,40.0,214.0,5085.0,196.0,11.0,185.0,82.0,159.0,170.0,30.0,1080.0,153.0,19.0,44.0,435.0,81.0,91.0,316.0
42.27069391540001,8.845693689100003,true,94.0,39.0,213.0,5087.0,197.0,12.0,185.0,83.0,160.0,171.0,31.0,1029.0,145.0,19.0,43.0,415.0,81.0,87.0,291.0
42.27902724870001,8.845693689100003,true,86.0,39.0,213.0,5071.0,188.0,3.0,184.0,75.0,152.0,163.0,22.0,1042.0,149.0,18.0,44.0,425.0,78.0,84.0,300.0
